Returns,Risks,k
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
0.009195,0.002938724,5
